Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name
SCCPDH,246724409,246768137,1
ELK4,205597556,205632011,1
,198949016,198949805,1
,209173014,209173375,1
HNRNPA1P46,191146025,191146961,1
FTH1P2,228687415,228687826,1
TFB2M,246540561,246566261,1
,117364899,117365473,1
LYPLAL1,219173869,219212865,1
MPZL1,167721192,167791919,1
INTS7,211940399,212035557,1
RPS29P5,175921975,175922145,1
CATSPERE,244454377,244641177,1
TFDP1P1,209232196,209233419,1
PRDX6,173477330,173488815,1
EDARADD,236348257,236502915,1
,91600171,91600321,1
FMO7P,166474745,166481565,1
,227509028,227510618,1
,188218400,188220676,1
RPL35AP6,246755511,246755832,1
LINC01655,221819842,221840717,1
BRINP3,190097658,190478404,1
ATP5MC2P1,209267798,209268223,1
LMX1A,165201867,165356715,1
ADCY10,167809386,167914215,1
ZNF648,182054570,182061712,1
SELE,169722640,169764705,1
GPATCH2,217426992,217631090,1
SMYD2,214281102,214337131,1
SELL,169690665,169711702,1
CYCSP5,244598391,244598687,1
DPT,168695468,168729206,1
LINC01760,95310928,95318263,1
,187632166,187632439,1
,221133865,221134221,1
,205625483,205626153,1
,227518738,227520619,1
CAPN8,223538007,223665723,1
RHOU,228735479,228746664,1
,183252263,183258968,1
SIGLEC30P,170115636,170116576,1
RPS3AP10,166022215,166023027,1
RNF2,185045526,185102603,1
LINC01696,209325392,209328535,1
RGS5,163111121,163321791,1
,182062677,182069253,1
SPATA17,217631324,217871696,1
,198973379,198985506,1
,191151510,191154634,1
,157232231,157237136,1
,188705623,188732208,1
PRRX1,170662728,170739421,1
LINC02257,221880981,221978523,1
,228776312,228776865,1
,238485445,238538305,1
IVNS1ABP,185296388,185317273,1
LYPLAL1-AS1,219409039,219459369,1
ERLNC1,204141404,204143327,1
,215886582,215901464,1
,214344172,214357615,1
ASTN1,176857302,177164973,1
FMO10P,166665885,166682196,1
LINC01698,209367662,209380518,1
,212168207,212190259,1
KRT18P32,238491358,238492644,1
,163422405,163423164,1
RIMKLBP2,219199914,219200567,1
DTL,212035553,212107400,1
TRMT1L,185118101,185157072,1
LINC02474,221966341,221984964,1
SOAT1,179293714,179358680,1
,182086551,182090112,1
,194785517,194931310,1
SPATA17-AS1,217781198,217785120,1
USH2A-AS2,216072465,216086917,1
,165581613,165582476,1
,235097187,235097412,1
BATF3,212686417,212699840,1
MIPEPP2,238777049,238779200,1
CNST,246566444,246668595,1
FTH1P25,185071567,185072035,1
,185317779,185318530,1
SOX13,204073115,204127743,1
SRP14P4,171345105,171345307,1
,160020300,160020727,1
NID1,235975830,236065109,1
,186224472,186228191,1
,228858010,228858556,1
RPL7AP21,168578653,168579439,1
LINC01705,222010825,222064773,1
RPL21P28,212051524,212052006,1
ZNF678,227563543,227677443,1
KIF28P,246771837,246839611,1
MRPS14,175010789,175023425,1
,193457422,193465198,1
,246605873,246608102,1
,219222248,219225497,1
SLC9C2,173500460,173603072,1
UBBP2,217850403,217850633,1
,170748573,171251857,1
LHX9,197911902,197935478,1
,238842767,238848115,1
,227482253,227482454,1
CHCHD2P5,93921268,93921667,1
DESI2,244653103,244709033,1
SLC26A9,205913048,205943460,1
LINC01142,170271395,170284277,1
SLC45A3,205657851,205680509,1
ILDR2,166895711,166975540,1
KIF26B,245154985,245709432,1
PRR13P1,198197779,198198186,1
,235104180,235104609,1
LINC01675,166474879,166490307,1
LINC02815,229022773,229038274,1
LINC01222,199006040,199021037,1
RRP15,218285293,218337983,1
RPL7AP82,246632251,246632478,1
,182433893,182434461,1
TMEM59,54026681,54053504,1
LMX1A-AS2,165210627,165213090,1
,170667381,170669425,1
,188242139,188242678,1
LINC01221,199016133,199076735,1
DHX9-AS1,182837185,182839561,1
ISCA1P2,229042171,229042591,1
CACYBP,174999163,175012027,1
LINC01035,188905688,189037564,1
,205935128,205935768,1
LINC00210,217892900,217920804,1
,234535963,234539054,1
,195747024,195763501,1
TMCC2-AS1,205233821,205236867,1
,246682108,246685075,1
,219270774,219273387,1
,218301262,218301972,1
PTPN14,214348700,214552449,1
LINC02814,229087114,229205428,1
,199040501,199080975,1
NEK2,211658657,211675630,1
,246690047,246691821,1
C1orf53,197902630,197907367,1
,188508538,188536465,1
,234550542,234554838,1
ITLN2,160945025,160954809,1
,218338541,218338756,1
,218031835,218033660,1
,204131062,204131966,1
,246772301,246775772,1
,165598356,165624084,1
RAB4A,229271062,229305894,1
ENTR1P2,175044626,175045648,1
TOMM20,235109341,235128837,1
,110256754,110256930,1
TADA1,166856510,166876264,1
REN,204154819,204190324,1
LINC01653,218043505,218059140,1
GS1-279B7.1,185321157,185335039,1
HMGB1P11,171270954,171271590,1
LYPD9P,248691760,248716755,1
LINC00303,204032447,204041265,1
,182127297,182128682,1
LINC01341,246775880,246792385,1
OR2L6P,248003129,248004068,1
DHX9,182839347,182887982,1
,163769339,163769691,1
BTF3L4,52056199,52090716,1
,238268494,238268595,1
TEDDM2P,182441577,182442362,1
SWT1,185157080,185291781,1
FBXO28,224114111,224162047,1
,227490691,227492296,1
RPL4P2,166747379,166748660,1
,219294982,219297668,1
,192247505,192247947,1
COP1,175944831,176207286,1
,242671140,242671576,1
,245614773,245615145,1
,218046943,218049221,1
OR2L9P,247974741,247975653,1
,234565298,234570088,1
,214482813,214483387,1
,222088806,222389103,1
SLAMF7,160739057,160754821,1
RGS18,192158462,192185815,1
GNPAT,231241207,231277973,1
TGFB2,218345336,218444619,1
ODR4,186375838,186421378,1
,167819898,167820248,1
LINC01741,177700524,177712275,1
LINC01724,196044883,196065235,1
,193473224,194198708,1
FMO4,171314183,171342084,1
,157287267,157310655,1
RPL22P24,185171335,185171710,1
NSL1,212726153,212791782,1
,188671353,188671759,1
HFM1,91260766,91404856,1
ATP1A4,160151586,160186980,1
MORF4L1P7,176367699,176368401,1
MCRIP2P2,185435839,185436047,1
LINC00538,213924749,213926654,1
GALNT2,230057990,230282122,1
LINC01132,234724042,234736720,1
,234607008,234609483,1
FMO1,171248471,171285978,1
,200478020,200483604,1
,248708202,248708641,1
,193678894,193727035,1
SPRTN,231337104,231355023,1
EGLN1,231363751,231422287,1
YPEL5P1,182182730,182183096,1
LINC02961,234757619,234760056,1
RPL5P5,185226808,185227700,1
,188869474,188888540,1
FCRL1,157794403,157820120,1
GNG4,235547685,235650754,1
TGFB2-OT1,218442626,218443996,1
TUBB8P10,227493029,227495142,1
LINC00184,234629311,234634780,1
QRSL1P2,222261833,222262796,1
PAPPA2,176463171,176845601,1
TSNAX-DISC1,231528653,231819244,1
,167820406,167821224,1
,232160091,232185643,1
,245673732,245676478,1
LINC02773,212653305,212665638,1
CLPTM1LP1,189035961,189036444,1
GOT2P2,173141100,173142350,1
LRRN2,204617170,204685738,1
,182328497,182329007,1
,211715928,211725402,1
,185518651,185520986,1
,234644666,234647571,1
,231339421,231339558,1
,193684246,193688429,1
,185262286,185264356,1
PPP2R5A,212285410,212361853,1
,234811052,234932653,1
,230258694,230272100,1
,232174932,232180113,1
,242203555,242210827,1
C1orf100,244352635,244389663,1
SUCO,172532349,172611833,1
,190264898,190362270,1
,200315435,200315967,1
ATF3,212565334,212620777,1
,162039016,162039567,1
RNASEL,182573634,182589256,1
,221549362,221554314,1
PLXNA2,208022242,208244384,1
KRT18P12,214532195,214533467,1
SPATA45,212830141,212847649,1
,205134646,205134950,1
PLA2G4A,186828949,186988981,1
EIF1P3,182336001,182336334,1
,242345558,242345718,1
TOP1P1,171339299,171339959,1
RPS3AP9,188694320,188695111,1
,232221938,232222174,1
LINC02869,218459265,218525978,1
,178651706,178652282,1
,185280844,185281816,1
,212299495,212331713,1
ETNK2,204131062,204152044,1
,212624284,212626771,1
,221549786,221550643,1
SHCBP1L,182899865,182953525,1
RPL23AP22,193756815,193757267,1
,209528455,209567673,1
,200329161,200329677,1
,208106102,208107655,1
,212297448,212299579,1
RPL10AP5,242365189,242365822,1
LPGAT1,211743457,211830763,1
PROX1,213983181,214041510,1
,234646289,234683176,1
RPL23AP18,212309051,212309518,1
,230280312,230281893,1
,176231200,176231830,1
BRINP3-DT,190478551,190480735,1
DUTP6,166868748,166869209,1
,208255290,208255376,1
,246818076,246818180,1
PFKFB2,207034366,207081024,1
,242376923,242377432,1
SNRPD2P2,231475956,231476288,1
,212357418,212358353,1
NENF,212432920,212446379,1
,213492288,213579267,1
,213983793,213986419,1
PTP4A1P7,176616273,176616786,1
,231363797,231528603,1
LINC01740,212545694,212556065,1
,173174300,173175503,1
TATDN3,212791828,212816830,1
HMGN1P4,182942115,182942404,1
,176017277,176018760,1
,185292384,185294372,1
SELP,169588849,169630193,1
SLC4A1APP2,187706561,187708898,1
,234660271,234667104,1
RSL24D1P4,242772620,242773103,1
,221555550,221563653,1
BPNT2P1,210462345,210463012,1
CAMK1G,209583714,209613939,1
ZNF672,248838210,248849517,1
,190480379,190494297,1
LINC02771,212466699,212472905,1
,234709383,234720220,1
LINC01735,208606564,208614295,1
,176305672,176306095,1
,242882066,242883475,1
LAMB3,209614870,209652425,1
DSTYK,205142505,205211702,1
LINC01710,218912757,218918714,1
AHCYP8,248721993,248722201,1
ARHGEF10L,17539698,17697874,1
,187714243,187714735,1
,242890247,242890803,1
TSNAX,231528541,231566524,1
,212430269,212432775,1
LINC02769,208626741,208628085,1
,244375100,244409592,1
,182955390,182956148,1
NOS1AP,162069691,162370475,1
,214028891,214030901,1
,234669523,234696153,1
GARIN4,212624474,212626775,1
,177392667,177920152,1
RNPEP,201982372,202006147,1
ANGEL2,212992182,213015867,1
ITLN1,160876540,160885180,1
KIAA0040,175156986,175192999,1
RGSL1,182409192,182560599,1
DISC1-IT1,231925834,231945233,1
,212824027,212824505,1
LINC01346,3940486,3955262,1
,212559363,212561399,1
RPS26P13,208697369,208697698,1
EXOC8,231332753,231337852,1
,213731416,213794587,1
GAPDHP75,189132350,189133292,1
,210362861,210366948,1
CCNQP1,200213678,200214322,1
BRINP2,177170958,177282422,1
NEK7,198156994,198322420,1
PGBD5,230314490,230426332,1
,212853280,212853426,1
,205202191,205202742,1
,210386657,210394112,1
,229223457,229242902,1
ANKRD45,173608336,173669851,1
,163237214,163239197,1
ZNF695,246945547,247008093,1
SMYD3-IT1,246321663,246322438,1
,221508559,221510979,1
LINC02789,199148598,199393307,1
RPS6KC1,213051233,213274774,1
,209147220,209266758,1
,212647296,212647755,1
,205775559,205783623,1
,212855175,212855366,1
KRT18P28,182959074,182960405,1
,246509038,246522592,1
TMCC2,205227946,205285632,1
PM20D1,205828025,205850132,1
,231520729,231528618,1
TGIF2P1,244394976,244395660,1
RPL23AP16,199371877,199372297,1
ZNF670-ZNF695,246945547,247078811,1
ZNF692-DT,248859164,248864796,1
NUP133,229440259,229508341,1
LINC01717,208728665,208736286,1
LINC01743,246516039,246524287,1
,238238943,238404906,1
RGS21,192316992,192367285,1
RCC2-AS1,17406760,17407382,1
RGS1,192575763,192580024,1
,192167786,192957713,1
RGS5-AS1,163161675,163213023,1
LINC01774,208972454,208975307,1
EEF1A1P44,199387141,199388475,1
PGBD2,248906196,248919946,1
PPIAP37,160848010,160848502,1
,246527030,246528155,1
RAC1P7,234026851,234027227,1
FLVCR1,212858275,212899363,1
SLC41A1,205789094,205813748,1
,209001338,209001476,1
,247015068,247017291,1
USH2A,215622891,216423448,1
LINC02817,221330080,221336489,1
RPL23AP25,248936581,248937043,1
,176272483,176273402,1
,209107503,209114419,1
,201893842,201899978,1
,160670778,160699761,1
RPL31P13,213428708,213429077,1
,246528562,246528841,1
,234212606,234215088,1
,199752491,199752890,1
,212504178,212534060,1
SMYD3-AS1,246108626,246113866,1
ZNF670,247034637,247078811,1
,173741674,173741928,1
ADSS2,244408494,244451909,1
,160894980,160896076,1
PLD5,242082986,242524697,1
NXNP1,218881600,218882650,1
ELF3-AS1,201995696,202010463,1
,234261706,234274465,1
BANF1P4,174756850,174757119,1
LMOD1,201896456,201946588,1
ACBD6,180269653,180502954,1
,192246708,192247487,1
,89939601,89940147,1
,247085389,247086067,1
,246025897,246035603,1
ST7L,112523514,112620825,1
,247105405,247108929,1
,192517190,192538102,1
SLC35F3-AS1,234268583,234272500,1
,242147230,242209129,1
RBBP5,205086142,205122015,1
XPR1,180632022,180890279,1
RPSAP20,56207567,56208456,1
CHCHD4P5,246178778,246179204,1
KIF14,200551497,200620751,1
RPS7P3,233288868,233289447,1
STYXL2,167094075,167129165,1
,205813322,205896082,1
COLGALT2,183929854,184037729,1
LYPD8,248739415,248755759,1
,187506838,187507119,1
,183754418,183754937,1
GAPDHP29,94302038,94303022,1
PCNX2,232983435,233295725,1
CNIH3,224434660,224740554,1
UBE2V1P13,214612960,214613398,1
SDCCAG8,243256034,243500091,1
SLC35F3,233904676,234324511,1
DPY19L4P1,248771635,248773792,1
ZNF281,200404940,200410056,1
,233295325,233295727,1
,173555251,173612772,1
,199876978,199877558,1
VDAC1P4,180434800,180435936,1
MAEL,166975582,167022214,1
RABGAP1L-AS1,174934947,174954261,1
,44187943,44189049,1
ARID4B,235131634,235328219,1
,233904104,233905931,1
TMEM78,229249636,229251810,1
,234284972,234285541,1
SH3BP5L,248810446,248825915,1
WNT2B,112466541,112530165,1
RABGAP1L-DT,174110268,174160165,1
GEMIN8P4,89993593,89994321,1
NUCKS1,205712822,205750182,1
MAP3K21,233327724,233385148,1
,174367105,174368039,1
FYB2,56718789,56819696,1
TIMM17A,201955503,201970664,1
CDC7,91500851,91525764,1
TEX50,173635338,173637130,1
,212916787,212917577,1
NDUFAF4P4,174849667,174850168,1
,234356704,234357141,1
RABGAP1L-IT1,174896958,174897996,1
LINC01691,121573946,121580524,1
,234372186,234372811,1
TSEN15P2,51859778,51860135,1
LINC01363,167175363,167195792,1
,234357006,234365828,1
GPR52,174447964,174449545,1
RPL10P4,201978642,201978949,1
FEN1P1,91328369,91329513,1
,214946909,214988040,1
SMYD3,245749342,246507312,1
KLHL20,173714941,173786692,1
,51801028,51801307,1
NTPCR,232950605,232983882,1
HMGB3P6,164356767,164357364,1
,215393646,215394418,1
ABHD17AP3,214605470,214608840,1
,199908921,199909648,1
RAB29,205767986,205775482,1
LINC01681,170173865,170304358,1
,232917235,232918018,1
,233527544,233543633,1
,232843386,232897660,1
OVAAL,180509380,180566523,1
KCTD3,215567304,215621807,1
,233836080,233836432,1
LINC01682,229812917,229892046,1
ZC3H12A,37474580,37484377,1
,173596060,173669837,1
,174892417,174893155,1
,233724454,233730746,1
,167162423,167162837,1
HHAT,210328252,210676296,1
,44172506,44172719,1
,38149544,38162545,1
CD244,160830160,160862887,1
,174922107,174922440,1
RBM34,235131183,235161283,1
,233844621,233865370,1
KCNK1,233614106,233672514,1
,186521773,186522304,1
TEDDM1,182398117,182400667,1
NMNAT1P2,164343005,164343864,1
,112517799,112518441,1
,38193619,38210340,1
LINC00272,182407621,182414815,1
VDAC1P10,215376484,215377374,1
LINC02786,38129464,38140593,1
,104998406,105032365,1
,185646463,185657168,1
,214943123,214943540,1
LINC00582,231591292,231612090,1
,247042791,247044021,1
GAPDHP24,214870734,214871716,1
LINC01677,105927620,106028277,1
HMCN1,185734391,186190949,1
LINC01350,185558371,185628944,1
PDC-AS1,186423481,186521147,1
PDC,186443566,186461114,1
MIR6859-2,187891,187958,1
U6,516376,516479,1
,5564071,5564143,1
MIR4689,5862672,5862741,1
,9082696,9082879,1
RN7SL614P,10616836,10617115,1
SNORA59A,12507246,12507397,1
RNU6-1265P,14124233,14124335,1
SNORA70,12221148,12221271,1
RNU7-179P,15608078,15608145,1
RNA5SP40,9437669,9437778,1
MIR4695,18883202,18883275,1
MIR34A,9151668,9151777,1
RNU6-110P,25964197,25964300,1
RN7SKP91,30843823,30844110,1
RN7SL371P,30918469,30918735,1
Y_RNA,31503631,31503744,1
SCARNA21B,15542165,15542304,1
,26006216,26006299,1
RNU6-176P,28142737,28142841,1
,26642286,26642389,1
MIR552,34669599,34669694,1
MIR4420,30739156,30739232,1
SNORA63,37884237,37884317,1
Y_RNA,37737955,37738054,1
RNU6-584P,37885023,37885117,1
RNU6-605P,38926870,38926977,1
MIR4255,37161563,37161634,1
RNU6-636P,37203610,37203716,1
Y_RNA,38950825,38950925,1
RNA5SP43,37264677,37264786,1
Y_RNA,28422555,28422655,1
MIR3659,38089231,38089329,1
RNU6-510P,37991462,37991569,1
RNU6-753P,38396659,38396765,1
,26006006,26006130,1
RN7SL290P,51995740,51996039,1
RNA5SP46,43196417,43196536,1
Metazoa_SRP,37953508,37953780,1
MIR6732,37480230,37480289,1
MIR6733,43171652,43171712,1
RNU2-30P,52754322,52754462,1
RNU6-969P,52805108,52805212,1
U6,43716467,43716556,1
RNU6-1237P,40177843,40177949,1
Y_RNA,44153385,44153480,1
RNU6-1026P,50582404,50582511,1
MIR6079,43838622,43838683,1
,52928674,52928772,1
MIR5581,37500935,37500994,1
,52934930,52935017,1
RNU6-40P,31497577,31497683,1
Y_RNA,62211557,62211666,1
,52940314,52940413,1
RNU7-62P,64384398,64384459,1
,51724775,51724896,1
RNU6-414P,61816419,61816522,1
RNU6-1177P,61852499,61852602,1
RN7SL180P,62072448,62072741,1
MIR3116-1,62078786,62078859,1
MIR3116-2,62078789,62078856,1
RNU6-161P,76753135,76753240,1
RN7SKP19,73191604,73191855,1
RNU6-371P,62298149,62298256,1
RNU2-15P,65415816,65416006,1
RNU4-88P,66094461,66094546,1
RNA5SP23,78375164,78375268,1
,54099968,54100224,1
MIR7156,77060143,77060202,1
RN7SL62P,52714399,52714695,1
RNU6-503P,75538015,75538119,1
RNA5SP20,77614869,77614952,1
RN7SL854P,65761058,65761352,1
RNA5SP21,77779904,77779999,1
MIR4781,54054079,54054154,1
RNU7-8P,77420325,77420386,1
RN7SL370P,77645324,77645618,1
RNA5SP22,78094807,78094915,1
RNA5SP52,87453240,87453373,1
SNORD3G,90657750,90657964,1
RNA5SP50,73749517,73749623,1
RN7SL392P,67656831,67657129,1
RNU6-1246P,72717663,72717769,1
RNA5SP51,85883680,85883798,1
Y_RNA,91261625,91261724,1
MIR2682,98045242,98045351,1
RNA5SP48,51973410,51973535,1
RN7SL440P,94150738,94151080,1
RN7SL488P,63529613,63529898,1
RN7SL583P,88477828,88478114,1
MIR137,98046070,98046171,1
RNU7-123P,63536711,63536770,1
,88520000,88520170,1
MIR30E,40754355,40754446,1
RNU6-750P,99978939,99979045,1
MIR30C1,40757284,40757372,1
,63548977,63549112,1
RNU6-125P,88816779,88816885,1
RNU6-1318P,100000637,100000739,1
RNU6-695P,90253456,90253559,1
,63549133,63549216,1
,63549227,63549284,1
MIR378G,94745860,94745900,1
MIR760,93846832,93846911,1
,63549294,63549366,1
,63549374,63549463,1
,63549489,63549608,1
Y_RNA,99791662,99791753,1
RN7SL130P,63655743,63656047,1
RNU4-75P,99784740,99784885,1
RN7SKP291,55376526,55376852,1
MIR7852,107897223,107897304,1
RNU6-830P,55398514,55398620,1
Y_RNA,55484871,55484972,1
MIR761,51836344,51836402,1
RNU1-130P,96225901,96226060,1
,115621872,115622005,1
RNU6-965P,101728642,101728737,1
,110272484,110272607,1
MIR320B1,116671749,116671827,1
RN7SKP272,89987713,89987944,1
,117688621,117688742,1
RNA5SP56,118264372,118264489,1
Metazoa_SRP,117243212,117243508,1
MIR942,117094643,117094728,1
,112371004,112371107,1
Y_RNA,114490724,114490832,1
Y_RNA,95125511,95125609,1
MIR548AC,116560024,116560111,1
RN7SKP285,103523562,103523879,1
RNVU1-22,148263476,148263632,1
RNU4ATAC8P,73883714,73883822,1
RNA5SP55,116962347,116962471,1
RNA5SP533,143439605,143439714,1
RN7SL420P,115606471,115606768,1
MIR4256,112461770,112461833,1
RNU6-352P,101859851,101859957,1
RNU1-75P,119331397,119331525,1
7SK,120228046,120228295,1
RNA5SP64,166042244,166042350,1
RNU6-41P,182982212,182982318,1
RNU6-1310P,168263375,168263481,1
RNU6-307P,174996524,174996629,1
RNU5F-6P,164351273,164351388,1
RNU7-183P,185434244,185434305,1
U3,163923670,163923873,1
RNU6-983P,194488103,194488205,1
Y_RNA,185630428,185630528,1
RNA5SP72,185014951,185015067,1
RNU6-716P,200008505,200008607,1
Y_RNA,185634073,185634182,1
Metazoa_SRP,182576772,182577040,1
MIR557,168375524,168375621,1
U7,176217541,176217602,1
RNU1-141P,218129795,218129952,1
MIR921,166154743,166154798,1
RNU6-778P,199888159,199888261,1
U6,180758722,180758817,1
RNA5SP57,148193716,148193838,1
Y_RNA,175022479,175022580,1
RNU2-12P,176243862,176244029,1
SNORA16B,212352816,212352950,1
SNORD116,215630026,215630117,1
MIR1255B2,167998660,167998726,1
SCARNA3,175968398,175968540,1
Y_RNA,171253906,171254022,1
RNU6-609P,200014689,200014795,1
RN7SL299P,232222866,232223145,1
U8,234593275,234593402,1
MIR3119-1,170151378,170151462,1
RNU6-570P,200054061,200054165,1
RNU4-77P,233448626,233448781,1
MIR3119-2,170151378,170151462,1
SNORA14B,235127803,235127937,1
MIR4427,233624152,233624219,1
MIR4671,234306467,234306539,1
RNU6-465P,120126974,120127074,1
MIR3658,165907921,165907976,1
MIR205,209432133,209432242,1
RNY4P16,234837976,234838069,1
Metazoa_SRP,205684018,205684307,1
RN7SL333P,169859756,169860052,1
RNU6-725P,238325687,238325788,1
Y_RNA,247997000,247997096,1
RNU6-403P,221837334,221837437,1
RN7SL668P,234904186,234904488,1
RNU6-1283P,246189014,246189118,1
RN7SL344P,211792111,211792406,1
Y_RNA,248045788,248045889,1
MIR6740,202003124,202003236,1
RNA5SP80,231281414,231281524,1
RNU5A-5P,231670635,231670750,1
MIR3121,180438314,180438390,1
RNU6-1205P,248912690,248912795,1
MIR488,177029363,177029445,1
RNA5SP73,189666149,189666256,1
RNU6-152P,182327068,182327174,1
RN7SKP156,188155839,188156180,1
,212025561,212025682,1
SNORA70H,201978461,201978595,1
RNU2-19P,205566716,205566799,1
RNA5SP65,167005959,167006077,1
Y_RNA,185251313,185251411,1
U3,218541690,218541899,1
RN7SKP49,224107282,224107541,1
SNORA72,205731221,205731352,1
RNA5SP62,163468496,163468605,1
Y_RNA,180519016,180519119,1
RNU5A-8P,210374154,210374267,1
RN7SL269P,169957942,169958246,1
,246833448,246833529,1
Y_RNA,246426006,246426119,1
Y_RNA,211803017,211803104,1
,231814982,231815186,1
MIR3122,212077613,212077685,1
Y_RNA,185257911,185258015,1
RNA5SP63,163509484,163509595,1
RN7SKP98,212099521,212099676,1
